param,scale,dose_m,return_loss_pct,termination_rate,n_seeds
armature_scale,0.8,1.011345e-03,0.377,0.422,3
solref_scale,0.75,1.557265e-03,2.088,0.401,3
armature_scale,1.5,1.649294e-03,0.427,0.411,3
armature_scale,0.6,1.688027e-03,2.950,0.417,3
friction_scale,1.5,2.071327e-03,5.346,0.458,3
solref_scale,1.5,3.084399e-03,7.279,0.438,3
armature_scale,0.4,3.137006e-03,6.371,0.448,3
friction_scale,0.6,3.286269e-03,6.122,0.339,3
armature_scale,2.5,3.505744e-03,-0.026,0.396,3
friction_scale,2.5,4.769901e-03,15.770,0.547,3
solref_scale,0.5,5.084741e-03,31.253,0.547,3
armature_scale,4.0,5.549909e-03,1.314,0.380,3
friction_scale,0.4,5.895604e-03,51.665,0.438,3
solref_scale,2.0,9.390493e-03,27.759,0.568,3
friction_scale,0.2,1.175684e-02,323.318,0.651,3
solref_scale,3.0,2.128372e-02,103.848,0.932,3
friction_scale,4.0,2.223288e-02,57.361,0.703,3
solref_scale,5.0,4.103831e-02,132.211,1.000,3
solref_scale,8.0,6.363107e-02,135.584,1.000,3
